SampleTimeFine,Roll,Pitch,Yaw
147178,-26.054431,-89.349015,28.42192
147278,-24.317726,-89.331906,26.691972
147378,-21.626906,-89.305818,23.998511
147478,-17.601191,-89.266909,19.961452
147578,-12.428127,-89.206193,14.7847
147678,-6.753009,-89.121652,9.135562
147778,-1.285067,-88.996072,3.739105
147878,3.399814,-88.809576,-0.827696
147978,6.958541,-88.552611,-4.245657
148078,9.152894,-88.220956,-6.324547
148178,10.193975,-87.822986,-7.320499
148278,10.535806,-87.393165,-7.697841
148378,10.561755,-86.959856,-7.814189
148478,10.526201,-86.552609,-7.896873
148578,10.49506,-86.199696,-7.997962
148678,10.580106,-85.909071,-8.208471
148778,10.961773,-85.70137,-8.690972
148878,11.685253,-85.597573,-9.490391
148978,12.625868,-85.586476,-10.483205
149078,13.777825,-85.647946,-11.648545
149178,15.102927,-85.748787,-12.967566
149278,16.432689,-85.842995,-14.307622
149378,17.482389,-85.892733,-15.416775
149478,17.943304,-85.854041,-16.016305
149578,17.799308,-85.711228,-16.095088
149678,17.303199,-85.49737,-15.893341
149778,16.644609,-85.262688,-15.559307
149878,15.975167,-85.049084,-15.189065
149978,15.330005,-84.861601,-14.777857
150078,14.712131,-84.692555,-14.312398
150178,14.147635,-84.546133,-13.822724
150278,13.704279,-84.426154,-13.40146
150378,13.388574,-84.327553,-13.091946
150478,13.185335,-84.245084,-12.905586
150578,13.067174,-84.193883,-12.804539
150678,12.982035,-84.177484,-12.726947
150778,12.888493,-84.195503,-12.640728
150878,12.769352,-84.239403,-12.54817
150978,12.597312,-84.296187,-12.440923
151078,12.358861,-84.348817,-12.308319
151178,12.078377,-84.384368,-12.16848
151278,11.773338,-84.407136,-12.0226
151378,11.479112,-84.430182,-11.897327
151478,11.238985,-84.463369,-11.826251
151578,11.093556,-84.513522,-11.843105
151678,11.07547,-84.584489,-11.970024
151778,11.213824,-84.676954,-12.229928
151878,11.537829,-84.784924,-12.651025
151978,11.970602,-84.900504,-13.160522
152078,12.445114,-85.018118,-13.703558
152178,12.898617,-85.135004,-14.225349
152278,13.248709,-85.234772,-14.643651
152378,13.423095,-85.302438,-14.887788
152478,13.376777,-85.330187,-14.9128
152578,13.126614,-85.331617,-14.727144
152678,12.703188,-85.318583,-14.361275
152778,12.15873,-85.289512,-13.870535
152878,11.545927,-85.243044,-13.307077
152978,10.894542,-85.175602,-12.703638
153078,10.21434,-85.095702,-12.069951
153178,9.499066,-85.017459,-11.386011
153278,8.79597,-84.952403,-10.688502
153378,8.120121,-84.902232,-9.991781
153478,7.435343,-84.844052,-9.273681
153578,6.708019,-84.749083,-8.518017
153678,5.951115,-84.593597,-7.758386
153778,5.154703,-84.372283,-6.993984
153878,4.324596,-84.094633,-6.213377
153978,3.494851,-83.769951,-5.420071
154078,2.751974,-83.407096,-4.67512
154178,2.266261,-83.032957,-4.124513
154278,2.020265,-82.655364,-3.762496
154378,1.909283,-82.287692,-3.513854
154478,1.820775,-81.955995,-3.303813
154578,1.725201,-81.694066,-3.142669
154678,1.638827,-81.536174,-3.065871
154778,1.528216,-81.516115,-3.004896
154878,1.363003,-81.620897,-2.884594
154978,1.154582,-81.817472,-2.682119
155078,0.97748,-82.088755,-2.45024
155178,0.89226,-82.404255,-2.239652
155278,0.928218,-82.719337,-2.070019
155378,1.105876,-82.986862,-1.963518
155478,1.451348,-83.171323,-1.95244
155578,1.942832,-83.259745,-2.03216
155678,2.488455,-83.250677,-2.142449
155778,3.031469,-83.145891,-2.265171
155878,3.54272,-82.970965,-2.402358
155978,3.917157,-82.76907,-2.475714
156078,4.038615,-82.565292,-2.394351
156178,3.858262,-82.366594,-2.116139
156278,3.502953,-82.187511,-1.743599
156378,3.152294,-82.046001,-1.421696
156478,2.928587,-81.968785,-1.238393
156578,2.827825,-81.961262,-1.160632
156678,2.818196,-82.010022,-1.142592
156778,2.914349,-82.107022,-1.196987
156878,3.098398,-82.240933,-1.313019
156978,3.327862,-82.395869,-1.460274
157078,3.57525,-82.558944,-1.618095
157178,3.777548,-82.723289,-1.732067
157278,3.879126,-82.873333,-1.74899
157378,3.892014,-82.990192,-1.677038
157478,3.796819,-83.072131,-1.493449
157578,3.571857,-83.134228,-1.183686
157678,3.24312,-83.205217,-0.785107
157778,2.837033,-83.307266,-0.326838
157878,2.355595,-83.439893,0.194583
157978,1.838688,-83.59499,0.745228
158078,1.321817,-83.745118,1.286703
158178,0.851712,-83.887268,1.775598
158278,0.413559,-84.029243,2.215196
158378,0.008738,-84.167383,2.60153
158478,-0.39126,-84.300913,2.969652
158578,-0.774967,-84.410588,3.312484
158678,-1.150123,-84.484622,3.641241
158778,-1.509225,-84.540856,3.947593
158878,-1.84479,-84.603492,4.235636
158978,-2.16467,-84.685879,4.52189
159078,-2.44709,-84.794737,4.788239
159178,-2.671815,-84.929664,5.022101
159278,-2.868895,-85.081413,5.263213
159378,-3.057948,-85.244414,5.535682
159478,-3.219238,-85.407554,5.816428
159578,-3.301146,-85.553112,6.060435
159678,-3.246604,-85.677596,6.215571
159778,-3.066405,-85.779869,6.294368
159878,-2.705151,-85.850092,6.230648
159978,-2.118323,-85.888697,5.936502
160078,-1.389744,-85.91357,5.444462
160178,-0.581304,-85.934598,4.781308
160278,0.329183,-85.936948,3.906334
160378,1.459083,-85.877601,2.699071
160478,2.946911,-85.727282,1.058633
160578,4.70168,-85.49714,-0.872071
160678,6.567536,-85.231138,-2.907377
160778,8.256208,-84.958199,-4.765267
160878,9.733905,-84.693619,-6.411697
160978,10.921172,-84.478067,-7.742718
161078,11.866821,-84.35482,-8.806936
161178,12.790774,-84.347144,-9.838348
161278,13.84099,-84.447964,-10.97406
161378,15.166449,-84.623432,-12.353139
161478,16.815549,-84.838683,-14.028575
161578,18.863458,-85.060804,-16.119134
161678,21.163975,-85.238715,-18.529185
161778,22.692809,-85.301165,-20.257516
161878,22.931393,-85.225347,-20.762316
161978,22.310393,-85.063989,-20.418445
162078,21.378133,-84.898993,-19.74395
162178,20.520837,-84.791332,-19.109615
162278,19.884421,-84.755654,-18.646992
162378,19.364767,-84.76747,-18.252908
162478,18.943444,-84.809006,-17.933331
162578,18.655487,-84.870802,-17.744558
162678,18.552047,-84.954082,-17.733555
162778,18.640769,-85.048416,-17.890534
162878,18.900899,-85.141413,-18.181745
162978,19.261742,-85.230626,-18.558708
163078,19.594488,-85.313203,-18.937481
163178,19.735817,-85.386783,-19.180397
163278,19.60775,-85.446026,-19.213507
163378,19.270923,-85.494691,-19.076197
163478,18.762885,-85.540738,-18.779585
163578,18.201429,-85.588088,-18.424375
163678,17.631582,-85.640738,-18.049371
163778,17.04551,-85.687075,-17.637371
163878,16.438325,-85.713399,-17.186351
163978,15.900756,-85.722071,-16.795735
164078,15.471324,-85.730923,-16.499382
164178,15.12416,-85.743468,-16.268194
164278,14.900517,-85.767251,-16.137945
164378,14.71779,-85.800248,-16.027173
164478,14.447362,-85.836474,-15.815527
164578,14.03928,-85.87386,-15.462116
164678,13.495856,-85.906106,-14.96506
164778,12.866944,-85.924737,-14.363536
164878,12.184369,-85.932768,-13.691134
164978,11.47276,-85.940688,-12.976647
165078,10.655399,-85.953297,-12.145714
165178,9.69551,-85.967567,-11.174369
165278,8.513346,-85.966569,-9.993471
165378,7.085123,-85.933744,-8.587514
165478,5.527232,-85.855012,-7.071207
165578,3.961141,-85.740788,-5.560478
165678,2.510924,-85.616456,-4.172928
165778,1.237327,-85.500586,-2.955215
165878,0.192739,-85.391838,-1.956372
165978,-0.637425,-85.28175,-1.162622
166078,-1.275234,-85.164421,-0.557163
166178,-1.745094,-85.040154,-0.123111
166278,-2.078674,-84.914693,0.16309
166378,-2.309348,-84.783646,0.333931
166478,-2.427847,-84.631906,0.384736
166578,-2.478717,-84.455157,0.384075
166678,-2.483366,-84.24802,0.377571
166778,-2.450086,-83.997361,0.383638
166878,-2.461795,-83.700307,0.474709
166978,-2.601867,-83.359493,0.717923
167078,-2.806673,-82.996547,1.041715
167178,-2.976394,-82.641861,1.330308
167278,-3.08495,-82.330797,1.518475
167378,-3.065777,-82.088681,1.498445
167478,-2.938543,-81.923228,1.255298
167578,-2.772155,-81.833695,0.866942
167678,-2.531728,-81.84114,0.363428
167778,-2.263113,-81.949569,-0.139592
167878,-1.984386,-82.15813,-0.590561
167978,-1.67463,-82.452216,-0.98915
168078,-1.295979,-82.789645,-1.344404
168178,-0.798004,-83.098154,-1.689208
168278,-0.204129,-83.318973,-2.009398
168378,0.347923,-83.427621,-2.212104
168478,0.764086,-83.430312,-2.247919
168578,1.049949,-83.347723,-2.157234
168678,1.25214,-83.211753,-2.014506
168778,1.366121,-83.057191,-1.845238
168878,1.329118,-82.913699,-1.608837
