SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw,Gyr_Z(rad/sec),Heading (rad) 
122478,0.053155,-0.118993,-0.085465,-15.732916,-86.972811,17.019712,-0.001491621,0.296993974
122578,0.040472,-0.094625,-0.091878,-14.991503,-87.034874,16.300199,-0.001603547,0.284438473
122678,0.049896,-0.05986,-0.094219,-14.091868,-87.07732,15.427688,-0.001644404,0.269213156
122778,0.072074,-0.036497,-0.095484,-13.07933,-87.106063,14.454872,-0.001666482,0.252237516
122878,0.100229,-0.039594,-0.093668,-12.059337,-87.135361,13.490762,-0.001634788,0.235413797
122978,0.12584,-0.088665,-0.085003,-11.214535,-87.190363,12.716778,-0.001483557,0.221907776
123078,0.165566,-0.166651,-0.075882,-10.593948,-87.28773,12.190103,-0.001324369,0.212717297
123178,0.215382,-0.22699,-0.076518,-10.027431,-87.418881,11.746174,-0.001335469,0.204970736
123278,0.257113,-0.238235,-0.086971,-9.269714,-87.557116,11.134836,-0.001517905,0.194302888
123378,0.27862,-0.232937,-0.104479,-8.161092,-87.693399,10.184683,-0.001823472,0.177722718
123478,0.288406,-0.236085,-0.115491,-6.759601,-87.831384,8.947134,-0.002015664,0.156127488
123578,0.28425,-0.247681,-0.120676,-5.116717,-87.974929,7.465758,-0.002106158,0.130277477
123678,0.256406,-0.227918,-0.121396,-3.221614,-88.105419,5.71617,-0.002118724,0.099747167
123778,0.200341,-0.16329,-0.113434,-1.213518,-88.196532,3.821497,-0.001979764,0.066685123
123878,0.121591,-0.076293,-0.110698,0.87731,-88.23546,1.798968,-0.001932012,0.031391992
123978,0.032206,-0.004899,-0.107059,2.870776,-88.231228,-0.177379,-0.001868501,-0.003095264
124078,-0.063173,0.043496,-0.100718,4.61008,-88.197528,-1.954141,-0.001757831,-0.03409976
124178,-0.148647,0.067562,-0.108853,6.333182,-88.147982,-3.763738,-0.001899811,-0.065677228
124278,-0.23758,0.08818,-0.107183,7.836897,-88.085252,-5.404874,-0.001870665,-0.094315051
124378,-0.311116,0.062607,-0.104177,9.220092,-88.035997,-6.967632,-0.001818201,-0.121585178
124478,-0.372087,-0.00661,-0.093919,10.542732,-88.025686,-8.504781,-0.001639168,-0.148408428
124578,-0.425344,-0.093304,-0.08353,11.954304,-88.064119,-10.161432,-0.001457849,-0.177316988
124678,-0.449871,-0.183563,-0.078186,13.699629,-88.152216,-12.166012,-0.00136458,-0.212296909
124778,-0.431216,-0.247991,-0.077871,15.972846,-88.273796,-14.687926,-0.001359083,-0.256304309
124878,-0.399834,-0.272631,-0.08237,18.87809,-88.404507,-17.823973,-0.001437604,-0.311028329
124978,-0.35842,-0.270241,-0.08531,22.380602,-88.528146,-21.533572,-0.001488915,-0.375760831
125078,-0.283012,-0.252631,-0.078624,26.239185,-88.637589,-25.555937,-0.001372225,-0.445951101
125178,-0.189234,-0.220454,-0.066437,30.123774,-88.727128,-29.550406,-0.001159525,-0.515654585
125278,-0.113969,-0.179458,-0.0582,33.80886,-88.792981,-33.302071,-0.001015765,-0.581121139
125378,-0.069907,-0.134733,-0.050891,36.993839,-88.835383,-36.528199,-0.000888201,-0.637417073
125478,-0.05543,-0.104287,-0.040391,39.617618,-88.86439,-39.184678,-0.000704944,-0.683772631
125578,-0.070428,-0.118481,-0.022275,42.252132,-88.903887,-41.860458,-0.000388766,-0.730464992
125678,-0.139203,-0.182718,0.000743,45.977013,-88.97609,-45.666151,1.29676E-05,-0.796874335
125778,-0.222327,-0.253907,0.019375,51.726975,-89.077213,-51.544747,0.000338152,-0.899455835
125878,-0.273748,-0.299586,0.027263,60.189828,-89.183753,-60.165838,0.000475821,-1.049893873
125978,-0.296765,-0.305867,0.031218,71.083672,-89.270408,-71.231124,0.000544848,-1.242983114
126078,-0.30718,-0.285863,0.023398,83.361921,-89.318281,-83.686725,0.000408365,-1.460333351
126178,-0.308527,-0.244788,0.015913,94.730355,-89.328804,-95.233151,0.00027773,-1.661818485
126278,-0.294739,-0.190852,0.002845,103.350046,-89.312869,-104.022755,4.96538E-05,-1.815197075
126378,-0.264187,-0.141963,-0.008297,109.131486,-89.285703,-109.956436,-0.000144808,-1.918739808
126478,-0.23698,-0.106795,-0.010804,112.980843,-89.258451,-113.942328,-0.000188562,-1.988293624
126578,-0.232288,-0.074168,-0.005831,115.374257,-89.238748,-116.469489,-0.000101768,-2.032392583
126678,-0.240097,-0.046291,0.000321,116.703809,-89.228158,-117.937179,5.60241E-06,-2.058003774
126778,-0.255412,-0.038561,0.007706,117.841404,-89.22293,-119.221674,0.000134493,-2.080418211
126878,-0.264186,-0.044201,0.012828,119.265787,-89.218332,-120.798015,0.000223887,-2.107925362
126978,-0.25897,-0.058303,0.017858,121.283429,-89.21149,-122.964687,0.000311676,-2.145733788
127078,-0.247784,-0.073202,0.023779,123.911413,-89.201696,-125.735355,0.000415015,-2.194081945
127178,-0.22747,-0.07149,0.030789,126.590655,-89.193972,-128.545654,0.00053736,-2.243121662
127278,-0.200788,-0.042393,0.040673,128.556663,-89.199306,-130.627362,0.000709866,-2.279447467
127378,-0.161114,0.011303,0.051272,129.126147,-89.22801,-131.289673,0.00089485,-2.291004794
127478,-0.106175,0.075086,0.054736,127.634818,-89.281021,-129.85951,0.000955307,-2.26604845
127578,-0.047733,0.11822,0.054598,124.182011,-89.347624,-126.434258,0.000952899,-2.206277802
127678,-0.002102,0.145192,0.054134,118.657177,-89.418691,-120.910758,0.000944801,-2.109892727
127778,0.01232,0.173538,0.059503,110.110761,-89.491561,-112.357346,0.001038506,-1.960635688
127878,0.0032,0.21159,0.072888,96.390648,-89.560097,-98.63538,0.001272114,-1.721187381
127978,-0.006175,0.257245,0.088477,75.115346,-89.598506,-77.363495,0.001544189,-1.349992988
128078,0.004538,0.294354,0.094403,50.511335,-89.565214,-52.756683,0.001647616,-0.920604118
128178,0.038576,0.318411,0.096129,31.336866,-89.457242,-33.559861,0.001677739,-0.585619574
128278,0.085591,0.333879,0.096029,19.183358,-89.301725,-21.357034,0.001675994,-0.372680243
128378,0.120196,0.352158,0.101845,11.348454,-89.116796,-13.452935,0.001777501,-0.234753716
128478,0.12365,0.379041,0.113048,5.882471,-88.906333,-7.915696,0.001973027,-0.138128895
128578,0.098449,0.414538,0.127016,1.82758,-88.66894,-3.803881,0.00221681,-0.066377723
128678,0.041628,0.456044,0.133799,-1.13231,-88.402906,-0.819554,0.002335194,-0.014301217
128778,-0.029763,0.502506,0.143288,-3.392821,-88.10682,1.424571,0.002500805,0.024858764
128878,-0.085071,0.547006,0.15771,-5.224049,-87.782372,3.207848,0.002752513,0.055976948
128978,-0.096139,0.584563,0.177469,-6.792901,-87.433509,4.722599,0.003097366,0.082409353
129078,-0.063645,0.62959,0.200135,-8.153817,-87.055798,6.048268,0.003492956,0.105542277
129178,-0.013121,0.696043,0.216619,-9.236029,-86.637692,7.124302,0.003780651,0.12431907
129278,0.055939,0.770461,0.224024,-9.992882,-86.175934,7.9145,0.003909891,0.138108025
129378,0.137893,0.799556,0.21917,-10.461898,-85.697832,8.463676,0.003825174,0.147691146
129478,0.188675,0.735779,0.192195,-10.701858,-85.258407,8.812632,0.003354379,0.153780428
129578,0.158571,0.621378,0.156866,-10.825763,-84.887292,9.028024,0.002737782,0.157539019
